A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Genesis 3:22-24,Adam and Eve are Cast Out of the Garden,"When God casts Adam and Eve out of the Garden of Eden, this is probably an act of mercy and protection in addition to being a consequence of disobedience to God’s clear command. Before creating Eve in Genesis 2:17, God clearly explained to Adam the consequences of eating from the tree of the knowledge of good and evil when He says, “you shall surely die”. Fortunately for the rest of mankind, the resulting death from disobedience was not immediate. Adam would live another 930 years, according to Genesis 5:4-5, and would father many sons and daughters. Now that Adam and Eve were in a fallen state of sin, it is conceivable that if they ate from the Tree of Life, they would live forever in this fallen state. Obviously that was not God’s plan. It was God’s plan to begin providing a way of Salvation so that redeemed mankind could live forever in heaven with Him. God removes them from the Garden where they begin the process of dying. Fortunately for mankind, it would take Adam over 900 years before he would experience the physical penalty of death. Adam and Eve will experience living in a fallen world while experiencing God’s Grace and promise of a future eternal life with Him without the presence of sin. Adam and Eve at this point are like God in the sense that they know the difference between Good and Evil. God knows Good and Evil due to His Holiness and Omniscience. Evil is not a part of God nor is it generated from Him. In contrast, Adam and Eve know Good and Evil by experience and will spend the rest of their lives learning that God’s Word means what He says and that there are consequences when we are disobedient to His commands. It could be argued that Adam and Eve were naïve to the consequences of sin since they had never witnessed any form of death prior to the Fall. This event of being removed from the Garden of Eden should give us all reason to make sure we understand what God’s Word says and what it means by what it says. Being ignorant or naïve about His Word does not remove us from the consequences of our sinful actions and desires.",EST,26,0,29,Monday,November,11,Heshvan,22,4115,BC,Monday,November,19,Heshvan ,29,4101,BC,S,33,223887.75,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Genesis 4:1,Birth of Cain-Son of Adam and Eve,"Cain appears to be the firstborn of the “secular line” of Adam and Eve. Seth would be the firstborn of the “sacred line” through Adam and Eve. The “secular line” refers to the descendants of Cain. Many of Cain’s descendants are named in order of birth, without giving the age of the father at the time of the heir’s birth. There is no way to precisely track the secular line descendants in a Timeline that is connected back to Creation Week or any other dated event in Scripture. Those who follow in the secular line are generally historic enemies of their brothers in the “sacred line”. Jacob and Esau, Isaac and Ishmael, would be good examples of family lines that are frequent enemies in history. In contract, the sacred line can be traced from Creation through King David to the birth of Jesus. The sacred line of Jesus, through Joseph, the husband of Mary, is found in Matthew 1:1-17. This unique section of Scripture uses 14 consecutive 40-year spans for connecting generations, rather than the actual birth order of father and son. The sacred line of Jesus, through his mother, Mary can be found in Luke 3:23-38. This is the first EDFC (estimated date from Creation) since the number of years from Creation until this event is not stated. This is the DFC date for one year from Creation Day 3 in 4115 BC. See Chapter titled, “Type of Dated Event in Scripture Explained”, for an explanation of DFC, EDFC, and other types of days identified as dated events in Scripture.",EDFC,364,0,367,Wednesday,October,16,Creation Day,3,4114,BC,Wednesday,October,23,Creation Day,7,4100,BC,N,4,224225.75,0,338,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Genesis 4:2,Birth of Abel-Son of Adam and Eve,Abel appears to be the second son of Adam and Eve. This event is also an EDFC event since the number of years is not stated. This event is estimated to be one year after the birth of his older brother Cain.,EDFC,364,1,731,Wednesday,October,16,Creation Day,3,4113,BC,Wednesday,October,22,Creation Day,6,4099,BC,N,3,224589.75,0,364,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Genesis 4:3-4,Cain and Abel Make an Offering to the Lord,"Cain and Abel present an offering to the Lord. Cain is estimated to be 30 years old when this event happens. Both Cain and Abel had apparently received instructions on making a sacrificial offering to God. These instructions are not recorded in the text of Scripture. It does appear that one way God measures loyalty and obedience in a person’s heart is by the attitude of giving to Him. Cain was a tiller of the ground and Abel took care of sheep. Like many farmers today, Cain and Abel probably raised both crops and animals but tended to specialize in one or the other so they would be able to offer either type of sacrifice. Both occupations appear to be respectable to God. It is the condition of the servant’s heart that is of concern to God. Like all DFC and EDFC dates from this point on in the Bible Timeline, the Calendar Day Number (CD#6) is one-fifth of the number of years since Creation Day 3 of Creation Week. CD#6 is the DFC date for events happening between 4086 BC and 4082 BC.",EDFC,6,30,10929,Tuesday,October,22,Heshvan,2,4085,BC,Tuesday,September ,23,Tishri,8,4071,BC,N,338,234787.75,28,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Genesis 4:4-7; Hebrews 11:4,The Lord Does Not Respect Cain's Offering,"Hebrews 11:4 records that Abel’s offering was an act of faith in giving God the best of what he had produced in the form of the firstborn of his flock. Both brothers knew what God expected from them. Abel was obedient to God and Cain was not. When Cain realized his offering was not acceptable to God he became very angry. Instead of repenting of his sin, Cain was disappointed and angry with God. God warns Cain that if he remains disobedient, Sin will crouch at the door like a lion waiting to jump on its prey. Cain does not heed God’s warning and sin takes its tragic course.",EST,12,30,10935,Monday,October,28,Heshvan,8,4085,BC,Monday,September ,29,Tishri,14,4071,BC,N,344,234793.75,0,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Genesis 4:8,Cain Murders Abel,"Since Cain cannot direct his anger toward God and refuses to be obedient to God’s commands, he decides to take his anger out on his brother Abel and kills him. This is the first murder in history. Cain’s motive of jealousy over his brother’s righteousness is mentioned in 1 John 3:12 and Jude 11. For more commentary, see the MacArthur Study Bible for extensive notes and references regarding this event.",EST,20,30,10943,Tuesday,November,5,Heshvan,16,4085,BC,Tuesday,October,7,Tishri,22,1,BC,N,352,234801.75,0,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Genesis 4:9-15,The Lord Confronts and Punishes Cain,,EST,26,30,10949,Monday,November,11,Heshvan,22,4085,BC,Monday,October,13,Tishri,28,4071,BC,N,358,234807.75,0,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Genesis 4:16,The Family of Cain Moves to Nod,"Cain and his family are banished from the area where his family members still reside. He moves to Nod which is described as “east of Eden”. Here he would build a city named after his son, Enoch, and would beget many children. This city called Enoch would thrive until the events of Noah’s Flood when the world population may have been comparable to what it is today. The dating of these events related to Cain and Abel is very difficult since no number of years is given. These events could have been up to a hundred years later but are likely to have occurred before the DFC date of the birth of Seth, 130 years after Creation Week.",EST,58,30,10981,Friday,December,13,Kislev,24,4085,BC,Friday,November,14,Heshvan ,22,4071,BC,N,26,234839.75,0,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Genesis 4:17,Birth of Enoch-Son of Cain,"Enoch is the grandson of Adam and Eve. It is estimated that Enoch is born 30 years and 6 days after the birth of his father, Cain. The Calendar Day Number (CD#6) for an EDFC event is one-fifth of the number of completed years since Creation Day 3 of Creation Week. CD#6 is the DFC date for events happening between 4086 BC and 4082 BC.",EDFC,6,31,11293,Tuesday,October,22,Heshvan,2,4084,BC,Tuesday,September ,22,Tishri,7,4070,BC,N,337,235151.75,0,312,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Genesis 4:18,Birth of Irad-Son of Enoch,"Irad is the great-grandson of Adam and Eve. It is estimated that Irad is born 19 years and 4 days after his father, Enoch. The Calendar Day Number (CD#10) is one-fifth of the number of completed years since Creation Day 3 of Creation Week. CD#10 is the DFC date for events happening between 4066 BC and 4062 BC.",EDFC,10,50,18213,Saturday,October,26,Heshvan,6,4065,BC,Saturday,September ,2,Elul,16,4051,BC,N,317,242071.75,19,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Genesis 4:18,Birth of Mehujael-Son of Irad,"Mehujael is the great-great-grandson of Adam and Eve. It is estimated that Mehujael is born 20 years and 4 days after his father, Irad. The Calendar Day Number (CD#14) is one-fifth of the number of completed years since Creation Day 3 of Creation Week. CD#14 is the DFC date for events happening between 4046 BC and 4042 BC.",EDFC,14,70,25497,Wednesday,October,30,Heshvan,10,4045,BC,Wednesday,August,12,Av,25,4031,BC,N,296,249355.75,20,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Genesis 4:18,Birth of Methushael-Son of Mehujael,"Methushael is the great-great-great-grandson of Adam and Eve. It is estimated that Methushael is born 20 years and 4 days after his father, Mehujael. The Calendar Day Number (CD#18) is one-fifth of the number of completed years since Creation Day 3 of Creation Week. CD#18 is the DFC date for events happening between 4026 BC and 4022 BC.",EDFC,18,90,32781,Sunday,November,3,Heshvan,14,4025,BC,Sunday,July,22,Av,4,4011,BC,N,275,256639.75,20,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Genesis 4:18,Birth of Lamech-Son of Methushael,"Lamech is the great-great-great-great-grandson of Adam and Eve. It is estimated that Lamech is born 20 years and 4 days after his father, Methushael. The Calendar Day Number (CD#22) is one-fifth of the number of completed years since Creation Day 3 of Creation Week. CD#22 is the DFC date for events happening between 4006 BC and 4002 BC.",EDFC,22,110,40065,Thursday,November,7,Heshvan,18,4005,BC,Thursday,July,1,Tammuz,12,3991,BC,N,254,263923.75,20,4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Genesis 4:19,Lamech-Son of Methushael Takes Two Wives,It is estimated that Lamech takes two wives seventeen years and three days after his birth. The Calendar Day Number (CD#25) is one-fifth of the number of completed years since Creation Day 3 of Creation Week. CD#25 is the DFC date for events happening between 3991 BC and 3987 BC.,EDFC,25,127,46256,Sunday,November,10,Heshvan,21,3988,BC,Sunday,June,13,Sivan,24,3974,BC,N,236,270114.75,17,3,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Genesis 4:20,Birth of Jabal-Son of Lamech by Adah,"It is estimated that Jabal is born one year after his father, Lamech takes two wives. The Calendar Day Number (CD#25) is one-fifth of the number of completed years since Creation Day 3 of Creation Week. CD#25 is the DFC date for events happening between 3991 BC and 3987 BC.",EDFC,25,128,46620,Sunday,November,10,Heshvan,21,3987,BC,Sunday,June,11,Sivan,24,3973,BC,L,236,270478.75,1,0,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
