year,title,era,type,region,summary,confidence
26,Jesus Turns Water to Wine in Cana,EST,EST,,"”On the third day” may refer to the third day of the wedding feast or the number of days the disciples were following Jesus. It is very possible that this refers to the third day of the month of Heshvan in the year 26 AD on the solar Gregorian-Hebrew used in the New Testament according the this research. The wedding may be connected to an invitation from Nathanael since he was from Cana, according to John 21:2.",
26,Jesus Goes to Capernaum With Family & Disciples,EST,EST,,,
26,Jesus Began Teaching in Synagogues in Galilee,SDIS,SDIS,,,
27,Jesus Goes to Jerusalem For 27 AD Passover,ESDIS,ESDIS,,This is the first of four Passover's in the Public Ministry of Jesus.,
27,Nisan 10-Start of Passover Feast in 27 AD,ESDIS,ESDIS,,,
27,Nisan 11-First Time Jesus Cleanses the Temple,Sol-Passover,Sol-Passover,,"Jesus would cleanse the Temple again three years later on Nisan 11 in 30 AD during Easter Week. The second cleansing of the Temple in 30 AD is recorded in Matthew 21:12-13, Mark 11:15-17, and Luke 19:45-46.",
27,"Jews Ask For Sign of His ""Cleansing"" Authority",EST,EST,,"This event occurs forty-six years after the start of the building of the Herodian Temple in 19 BC. Jesus' statement, ""Destroy this temple, and in three days I will raise it up"", would be misquoted and used against him at his trial in Matthew 26:61 and Mark 14:58.",
27,Nisan 14 Passover in 27 AD,EST,EST,,Nisan 14 Passover is the solar date from Creation (SDFC) when we look at events in the New Testament. Now we are dealing with a solar calendar. Nisan 14 always falls on April 5 on the Gregorian calendar in a non-leap year. Nisan 14 falls on April 3 in a leap year.,
27,Nicodemus Comes to Jesus at Night,EST,EST,,"Jesus teaches on the need to be ""born again"".",
27,Jesus and Disciples Baptize in Judea,EST,EST,,"John the Baptist teaches close by in Aenon near Salim. At this point in the New Testament, John the Baptist is getting close to the time that he will be put in prison.",
27,John's Disciples Discuss Purification With Jews,EST,EST,,,
27,"John's Disciples Discuss ""Success"" of Jesus' Baptizing",EST,EST,,,
27,John Tells How Jesus is More Important Than Him,EST,EST,,,
27,Pharisees Hear Jesus is Baptizing More Than John,EST,EST,,,
27,Jesus Departs for Galilee by Way of Samaria,EST,EST,,,
27,Jesus and Disciples Arrive in Samaria,EST,EST,,,
27,Jesus Speaks With Samaritan Woman at Jacob's well,EST,EST,,"Jesus meets with a Samaritan woman four months before the August wheat harvest, according to John 4:34. Notice the solar date of this event is mid-April.",
27,Jesus Teaches in Samaria for Two Days,EST,EST,,,
27,Herod Puts John the Baptist in Prison,EST,EST,,,
27,Jesus is Welcomed in Galilee,EST,EST,,,
27,Jesus Heals a Nobleman's Son-Second Sign in Cana,EST,EST,,A nobleman's son is healed in Capernaum while Jesus is in Cana.,
27,Jesus Calls His First Disciples,EST,EST,,,
27,Jesus Rejected in Nazareth Teaching From Isaiah,EST,EST,,,
27,Jesus Returns to Teach in Capernaum,EST,EST,,,
27,Jesus Casts Out a Demon in Capernaum,EST,EST,,,
27,Jesus Leaves Capernaum to Preach In Other Cities,EST,EST,,,
27,News of Jesus Ability to Heal Spread to All of Galilee,EST,EST,,,
27,Jesus Preaches the Sermon on the Mount,EST,EST,,,
27,Leper Healed and Response Recorded,EST,EST,,,
27,The Centurion's Servant is Healed,EST,EST,,,
27,A Widow's Son is Raised,EST,EST,,This happened in the city of Nain which was a small town South East of Nazareth.,
27,Peter's Mother-In-Law is Healed in Peter's House,EST,EST,,,
27,Mass Healings Begin in Peter's Capernaum House,ESDIS,ESDIS,,,
27,Demands of Discipleship,ESDIS,ESDIS,,,
28,Jesus Heals Paralytic on Sabbath Passover Week 28 AD,Sol-Passover,Sol-Passover,,"Jesus heals a paralytic man on the Sabbath. Monday, April 3-Nisan 14, the day of Passover, would occur two days later on the solar Gregorian-Hebrew calendar in 28 AD. This year is a leap year on the solar calendar and can be given a precise date according to this research.",
28,Jews Want to Kill Jesus Claiming God is His Father,EST,EST,,The Jew also wanted to kill Jesus for healing on the Sabbath.,
28,Nisan 14 Passover in 28 AD in a Leap Year,EST,EST,,Nisan 14 Passover is the solar date from Creation (SDFC) when we look at events in the New Testament. Now we are dealing with a solar calendar. Nisan 14 always falls on April 5 on the Gregorian calendar in a non-leap year. Nisan 14 falls on April 3 in a leap year.,
29,Herod Antipas Kills John the Baptist,EST,EST,,,
29,Jesus Goes to the Sea of Galilee as Passover Approaches,EST,EST,,,
29,"Jesus Feeds 5,000 People",EST,EST,,,
29,Jesus Walks on Water of the Sea of Galilee,EST,EST,,,
29,Jesus Heals Many at Gennesaret,EST,EST,,,
29,"Jesus Teaches ""I am the Bread of Life"" at Capernaum",EST,EST,,,
29,Many Followers Reject Jesus and His Teaching,EST,EST,,,
29,"Peter Confesses Jesus as ""Son of the Living God""",EST,EST,,"It is important to note that the estimated date, that Peter makes this important “confession”, is Nisan 17 on the 364-Day calendar. Nisan 17 is the date that the Ark comes to rest in the mountains of Ararat in 2457 BC. This date is exactly 1,473 years after Israel makes first camp at Succoth in 1445 BC, starting the Exodus. One year after Peter’s Confession of Jesus as, “the Christ, the Son of the living God”, Nisan 17 on a solar calendar is the evening of the resurrection when Jesus meets with His disciples, when Thomas is absent. This is described in John 20:19-23.",
29,"Jesus Says Judas Iscariot is a ""Devil""",Sol-Passover,Sol-Passover,,"This portion of the Biblical text emphasizes that it is Jesus who chose the disciples and emphasizes His sovereignty. The MacArthur Study Bible is very helpful in accurately assessing the true character of Judas and the connection to the influence of Satan. Judas is not just “a devil”. John 13:27 makes it very clear that “Satan entered him”, referring to Judas. Some writers have mistakenly suggested that Judas was just a misguided visionary who was trying to force Jesus into starting His Kingdom. The evil heart of Judas was clearly involved in his betrayal of Jesus.",
29,Herod Antipas Thinks Jesus is John the Baptist Risen,SDIS,SDIS,,"In this part of Scripture, even Herod Antipas recognizes that Jesus has some type of supernatural power. Mark 6:14-16 outlines how Jesus was seen by many Jews as Elijah. It was expected that Elijah would return just before the arrival of the Messiah. Others saw Jesus as a special messenger, like one of the Prophets from the Old Testament. Jesus was clearly seen by many Jews as “special”, but many did not seem to conclude that he was the expected Messiah.",
29,Nisan 14 Passover in 29 AD,SDIS,SDIS,,"Nisan 14 Passover is the Solar Date from Creation (SDFC) when we look at events in the New Testament, since we are now dealing with a solar calendar. Nisan 14 Passover always falls on April 5 on the Gregorian calendar in a non-leap year. Nisan 14 falls on April 3 in a leap year.",
30,Jesus in Bethany Six Days Before Passover 30 AD,SDIS,SDIS,,"It is likely that Lazarus had been raised from the dead just a few days prior to this event. The Jews are now plotting to kill Jesus and Lazarus. The raising of Lazarus was probably the ""last straw"" that triggered the anger of the Jewish leaders to plot the murder of Jesus.",
30,Martha Serves Supper & Mary Anoints Jesus' Feet,SDIS,SDIS,,"This evening meal, at the house of Simon the Leper, in Bethany begins the events on Sunday on the Hebrew calendar. It can be speculated that Simon may have been someone who had been healed by Jesus. Martha and Mary are apparently serving the meal for Simon. Mary, the sister of Lazarus, anoints the feet of Jesus, according to John 12:3. Matthew 26:7 and Mark 14:3 say that she also anointed the head of Jesus. She used very costly fragrant oil and breaks the alabaster flask, according to Mark 14:3. According to the footnotes for Mark 14:5 in the MacArthur Study Bible, the oil was valued at about 300 denarii. This amount would be about a year’s wages for a common laborer. It was apparently common to pay one denarii as a day’s wage. The alabaster flask containing the oil probably came from Egypt and would have also been very expensive. Many of the disciples object to this extravagance. This protest was led by Judas, the treasurer of the group. Matthew 26:12-13 echoes the response of Jesus in Mark 14:8-9 when he says, “She has done what she could. She has come beforehand to anoint My body for burial. Assuredly, I say to you, wherever this gospel is preached in the whole world, what this woman has done will also be told as a memorial to her”. Another woman anoints Jesus’ feet at a Pharisee’s house named Simon at a different time and location, as recorded in Luke 7:36-39. On this second occasion, Jesus tells the Parable of the Two Debtors found in Luke 7:40-50.",
30,Chief Priests Plot to Kill Lazarus and Jesus,SDIS,SDIS,,The Chief Priests come to see the recently raised Lazarus. They decide to plot the murder of both Jesus and Lazarus. These events happen during the daylight hours following the events of the previous evening at supper when Mary anointed the feet of Jesus. The next day would be Nisan 10 and the start of the Feast of Passover.,
30,The Triumphal Entry of Jesus Into Jerusalem,SDIS,SDIS,,"This event happens on Monday, Nisan 10 on the Gregorian-Hebrew solar calendar and is often mistakenly called “Palm Sunday”. On the 364-Day calendar, the date of this event is Monday, April 28 – Iyar 11 in 30 AD. This event, on Nisan 10 of the solar calendar, starts the Feast of Passover. On this day the Sacrificial Lamb is chosen to be sacrificed four days later. On this day in 30 AD, Jesus would be hailed as a Prophet from Galilee (Matthew 21:11). On Friday, the day of Passover just four days later, many of these same people would be saying, “Crucify him”, according to Mark 15:13-14, Luke 23:21, and John 19:15. On this same Monday, Iyar 11 date in 1445 BC, God parts the Red Sea at PiHahiroth. Four days after crossing the Red Sea, “on the fifteenth day of the second month after they departed from the land of Egypt”, the nation of Israel makes camp in the Wilderness of Sin, according to Exodus 16:1.",
30,Jesus Cleanses the Temple in Jerusalem,SDIS,SDIS,,"Jesus had cleansed the Temple during Passover in the first year of His public ministry in 27 AD, as recorded in John 2:14-17. It seems almost miraculous that no authority physically attempted to stop Jesus from doing the Temple cleansing on either occasion. On the first occasion, His “authority” is questioned. Jesus uses the second cleansing as a time to start two days of teaching and healing in the Temple. When Jesus cleanses the Temple, he quotes the prophecies of Isaiah 56:7 and Jeremiah 7:11. Isaiah 56:7 reads: “For My house shall be called a house of prayer for all nations”. Jeremiah 7:11 quotes God’s questioning rebuke to the nation of Israel: “Has this house, which is called by My name, become a den of thieves in your eyes? Behold, I, even I, have seen it,” says the Lord”.",
30,Jesus Teaches All Day in the Temple,SDIS,SDIS,,"After clearing out the moneychangers and other merchants from the Temple the day before, Jesus spends most of Wednesday teaching. Jesus basically has the Temple all to himself and uses His time to do a great deal of teaching. Jesus is confronted by the Pharisees and His authority is unsuccessfully challenged. Jesus is critical of the Pharisee’s false traditions and sternly condemns them publically. Jesus teaches and explains many parables. Jesus clearly displays His teaching authority as being from God. Jesus also shows his flawless understanding of God’s Word. On this day in history, the Messiah is the centerpiece on display in the Jerusalem Temple.",
30,Judas Plans to Betray Jesus as Disciples Prepare Passover Meal,Sol-Passover,Sol-Passover,,"These events associated with the betrayal of Jesus by Judas Iscariot and the preparation of the Last Supper meal, are events that occur simultaneously on Thursday of Easter Week. The betrayal by Judas probably happens early in the daylight hours of Thursday, Nisan 13 before noon of that day. Probably sometime after noon, the disciples get directions about the evening Passover meal that we know as the Last Supper. On this day, the Passover Lamb is killed and prepared between 3:00 p.m. and 6:00 p.m., before the start of the eight days of Passover starting on Nisan 14. It may have been a Galilean custom to celebrate the main Passover meal at the beginning of the Hebrew day at evening. It appears that other Jews would celebrate the main Passover meal in the late afternoon of Nisan 14, near the end of the day. It is also possible that both meals were heavily celebrated on Nisan 14 Passover. In Mark 14:12, the disciples ask Jesus, “Where do you want us to go and prepare, that you may eat the Passover?” When the disciples ask this question, it is still the daytime portion of Thursday and Nisan 13. Even though Nisan 14 will officially not start until 6:00 p.m. that evening, Nisan 14 is given as the date because the date in Scripture is given on the start of the Hebrew day at evening, even though most of the day will actually occur the next day on a solar calendar.",
30,Jesus Celebrates Last Passover Supper With Disciples,SDIS,SDIS,,"The exact dating of the Passover meal, often referred to as the Last Supper, is critical to understanding the historic and theological implications of this event. At this point, in the discussion of the events of Easter Week, it may be helpful to elaborate on the connection of the Day of Preparation to the Feast of Unleavened Bread, mentioned in John 19:14. The footnotes in the MacArthur Study Bible, related to Matthew 26:17 and Mark 14:12, are very helpful in sorting this out. There seems to be some confusion about the day of the week of the Last Supper and in some cases the day of the week of the crucifixion. I have heard more than one person say that the Last Supper and the time when Jesus is in the Garden of Gethsemane are events that occur on Thursday. Assuming the Last Supper events happened before midnight, a reasonable assumption, the day of the week would be Thursday only on a solar calendar that measures the days from midnight to midnight. On a Hebrew calendar, these events are clearly on a Friday assuming the events happened after 6:00 p.m. which is also a reasonable assumption. Some historians have suggested that the Galileans celebrated Nisan 14 most heavily at the beginning of the Hebrew day at the evening start of Passover. This would be the time of the events associated with the Last Supper. Others may have had their main Passover Feast at the end of the day ending around 3:00 p.m. at the time Jesus died on the cross. After 3:00 p.m. on Nisan 14 is the time when Jews would begin preparation for the events called the Feast of Unleavened Bread. This latter part of the day, on Nisan 14 Passover, is the time when all the food from the Passover meal is cleared out and no yeast or leavened products are allowed to remain in the home. The Feast of Unleavened Bread is also called “Passover week” and goes for seven days from Nisan 15 through Nisan 21. From this clearly stated Friday Nisan 14 Passover date of the crucifixion, all of Earth’s history can be accurately measured and dated on any computer generated calendar using the Julian day number of 1,732,111.75.",
30,Jesus is Crucified on Passover,SDIS,SDIS,,"The crucifixion of Jesus, on the Nisan 14 Passover date in 30 AD, is probably the most important calendar date in history connecting the non-solar 364-Day calendar of the Old Testament and the solar calendars in use today. Obviously, the theological significance of what happened on this day is of much greater importance than the precise monumental mathematical calendar implications found in the Biblical text of both the New and Old Testament. There are numerous books, commentaries and films that accurately portray the event of the crucifixion of Jesus as the clearest example of God’s loving grace. It is God who provides an acceptable “Lamb of God who takes away the sin of the world”, according to John 1:29. In this part of the Bible Timeline research, the author wishes to focus attention on some aspects of this important day in history that are often overlooked. \pIt is very clear from Scripture that there is a three hour period of darkness between noon and 3:00 p.m. during the event of the crucifixion. This period of darkness is mentioned in three of the four Gospels. The historians Thallus (around 52 BC), Phlegon (around 137 AD), and Africanus (around 221 AD) make reference to a three hour period of darkness during the nineteenth year of Tiberius in 30 AD. They attempt to claim it was some unusual form of solar eclipse that lasted about three hours. They recognized this was a difficult explanation since the moon is opposite the sun during the Nisan 14 Passover on April 5 in 30 AD on the Gregorian calendar. Phlegon writes that there was, “the greatest eclipse of the sun and that it became night in the sixth hour of the day (i.e., noon) so that the stars even appeared in the heavens. There was a great earthquake in Bithynia, and many things overturned in Nicaea”. This was clearly not explained by the sun being covered up by the moon or clouds. The sun is clearly not in the sky for about a three hour period of time. Africanus also recognized that there was no logical link between an eclipse, an earthquake, the tearing of the Temple Veil, and the bodily resurrections, described in Matthew 27:51-54, Mark 15:38-39, and Luke 23:44-47. The earthquake and other events seem to be a direct fulfillment of Amos 8:8-9, even though a large earthquake happened a few years later (est. 760 BC), according to Amos 1:1 and Zechariah 14:5. \pThe events following the death of Jesus are a very clear commentary by God on the events of that day. Clearly the world was put in the darkness of God’s Judgment. The statement by Jesus, shortly before His death, that “it is finished” is a statement much like a stamp on a receipt that reads, “Paid in Full”. The penalty for sin had been completely satisfied and no more sacrifices would be needed. The events recorded after His deaths are a preview of a future Day of Judgment. The bodily resurrections of others on Sunday, besides Jesus, are a preview of coming attractions of the Day of Judgment. This is followed by the eternal bodily resurrections for those who recognize Jesus as Lord and Savior. \pThe Friday, May 2 – Iyar 15 date of the crucifixion in 30 AD is exactly 1474 years after Israel arrives at the Wilderness of Sin on this same date in 1445 BC, as recorded in Exodus 16:1. This date in 1445 BC is just four days after the Crossing of the Red Sea. Two days after this date in 1445 BC, on Sunday, May 4 – Iyar 17, Israel would eat the first manna from heaven, as recorded in Exodus 16:13-21. It is also important to note that the same Hebrew dates in 30 AD happen two days apart going from Nisan 14 on the Gregorian-Hebrew calendar to Nisan 16 on the Hebrew secular calendar. In like manner, the same date in 30 AD on the Gregorian calendar is two days later on the Julian calendar.",
30,Jewish Leaders Ask Pilate to Guard the Tomb,Sol-Anchor #17,Sol-Anchor #17,,,
30,The Resurrection of Jesus,SDIS,SDIS,,"The resurrection of Jesus is the most important event in human history. On this date, the age of salvation begins. There is forgiveness of the eternal penalty for sin. Death has lost its sting. The numerous promises of the coming Messiah, beginning with “He shall bruise your head” in Genesis 3:15, and repeated though Israel’s Prophets and Patriarchs, have now been fulfilled. This event happens exactly 1474 years after the morning of the first manna from heaven during the Exodus, recorded in Exodus 16:13-21.",
30,Jesus Appears to His Disciples Without Thomas,SDIS,SDIS,,"This event happens on the evening of the resurrection. This is now Monday, April 4 - Nisan 17 on the Gregorian solar calendar in 30 AD. On the 364-Day calendar, Nisan 17 is also: the day the Ark comes to rest in the mountains of Ararat in 2457 BC, the first day out of Egypt at the Exodus in 1445 BC, and the first day of the 7-day battle for Jericho in 1405 BC.",
30,Jesus Appears to His Disciples With Thomas Present,SDIS,SDIS,,This event happens eight days after the evening of the resurrection.,
30,The Ascension of Jesus,SDIS,SDIS,,"This event happens on the same day, on the 364-Day calendar, as the end of Solomon’s reign in 929 BC.",
30,Pentecost,SDIS,SDIS,,"The event of Pentecost happens on the Gregorian-Hebrew solar calendar on Sunday, May 26 - Sivan 6 in 30 AD. Sivan 6 is the day on which Pentecost is celebrated today on the Hebrew secular calendar. On Sivan 6 in 1445 BC, God speaks from the mountain to the nation of Israel as recorded in Exodus 20:1-21.",
364,Event Title Description,Type of Dated Event,Type of Dated Event,,Brief Information,
364,Examples Taken From Specific Dated Texts of Scripture,,,,,
404,Darius the Persian Ends Reign,DFC,DFC,,"This is an estimated date for the end of Darius the Persian’s reign. The end of his reign is given in history but is not stated in Scripture. This last Heshvan 10 date in 404 BC is the last DFC date in the Old Testament. On this same date in 2458 BC, Noah’s family entered the Ark on the first specific date given in Biblical history. See Genesis 7:1-16. CD#14 is the DFC and EDFC date for events happening between 406 BC and 402 BC.",
406,End First Seven Weeks of Daniel's Seventy Weeks Prophecy,PCD,PCD,,The restoration of Jerusalem is completed forty-nine years after completing the rebuilding of the Jerusalem Wall under Nehemiah's leadership (5-year rule date-Chap. 12).,
406,The Restoration of Jerusalem After the Exile,PCD,PCD,,"The restoration of Jerusalem marks the end of the first “seven weeks” of Daniel’s Seventy Weeks prophecy. Four hundred years from this date, or very close to it, Elizabeth, the wife of Zacharias would conceive John the Baptist as recorded in Luke 1:24.",
406,End of the Old Testament,DFC,DFC,,"The estimated DFC date of the end of the Old Testament is exactly 2052 years after Noah’s family enters the Ark on Wednesday, October 30 - Heshvan 10 in 2458 BC. This is an estimated DFC date for the end of events recorded in the Book of Malachi. Malachi tells about a Prophet like Elijah who would announce the Messiah’s arrival. This messenger would be John the Baptist. CD#14 is the DFC and EDFC date for events happening between 406 BC and 402 BC. From this point in history, the Old Testament goes silent.",
423,Darius the Persian Begins Reign,Extra-Biblical,Extra-Biblical,,"Darius the Persian, also known as Darius Ochus, reigns from the end of January in 423 BC until 404 BC, according to extra-Biblical sources.",
423,Levite Records Kept During Reign Darius the Persian,Extra-Biblical,Extra-Biblical,,"During the Reign of Darius the Persian, the last records of the Priests were kept. The Persian Empire went into decline as a major world power after this period in history.",
424,The End of the Fifty-One Year Reign of Artaxerxes,Extra-Biblical,Extra-Biblical,,The accurate dating of the end of the reign of Artaxerxes is critical to dating the events at the end of the Babylonian Exile and Daniel’s 70 Weeks prophecy.,
443,The End of Nehemiah's Time as Governor,DFC,DFC,,This is a very important DFC date in Scripture. This marks the thirty-second DFC year of Artaxerxes and the end of Nehemiah's twelve years as Governor.,
455,Questioning Regarding Pagan Wives Ends,DIS,DIS,,"At the end of three months, Ezra the Priest ends the questioning of the Fathers' households regarding the issue of the pagan wives taken during the Babylonian captivity. The questioning involved at least 113 men, listed in Ezra 10:18-44, who had married pagan women and many had children from these marriages. Only four leaders, who opposed the attempt to be separated from their pagan wives, are mentioned in Ezra 10:15. Many in Israel say that they will separate from their pagan wives, according to Ezra 10:12. The problem does not seem to be solved until Nehemiah addresses Israel at the Feast of Tabernacles in 455 BC. Nehemiah’s handling of this difficult problem is recorded in Chapters 9 and 10 of the Book of Nehemiah.",
455,King Artaxerxes Lets Nehemiah Leave For Jerusalem,EDIS,EDIS,,"This event happens in the month of Nisan in the 20th year of the reign of King Artaxerxes. The 17th of the month is an estimated day of the month. This estimated Nisan 17 date would be exactly 990 years from the first day of the Exodus recorded in Exodus 12:40-41. On this same solar Nisan 17 date in 30 AD, the Monday evening of the Resurrection, Jesus would appear to his disciples without Thomas present as recorded in John 20:19-20.",
455,Nehemiah Appointed Governor of Judah by Artaxerxes,EST,EST,,"Nehemiah goes from being the King's Cupbearer (Nehemiah 1:11) to the Governor of Judah. This title would give him some protection from his enemies in and around Jerusalem. He would hold this title for twelve years, according to Nehemiah 5:14. He was given this title with the stipulation that he return to the Citadel in Shushan. Shushan, also known as Susa, was East of Babylon and the previous home of Esther.",
455,Nehemiah Given Access to King's Forest and Protection,EST,EST,,"Nehemiah is given access to the King's forest for wood to rebuild the Jerusalem Wall, his home, and needed supplies for the Citadel in Jerusalem. Nehemiah is also given protection for his journey to Jerusalem.",
455,Nehemiah Goes to the Governors Beyond the River,EST,EST,,"Nehemiah goes to the Governors around Judah to inform them of his status as a Governor to Judah. Under the protection of Persian King Artaxerxes, he enjoyed safe travel among enemies and was able to get the building materials needed to repair the Jerusalem Wall. The time it would take Nehemiah, to journey from Persia to Jerusalem and make preparations to rebuild the Jerusalem Wall, would be a little more than three months.",
